Incident ID,Incident Date,State,City Or County,Address,# Victims Killed,# Victims Injured,# Subjects-Suspects Killed,# Subjects-Suspects Injured,# Subjects-Suspects Arrested,Operations
2516291,"January 31, 2023",Alabama,Montgomery,3000 block of Simmons Dr,1,0,0,0,2,N/A
2515578,"January 31, 2023",New York,Brooklyn,325 Bristol St,0,1,0,0,0,N/A
2515998,"January 31, 2023",Ohio,Toledo,3600 block of Willys Pkwy,0,1,0,0,0,N/A
2516899,"January 31, 2023",Ohio,Toledo,3739 Upton Ave,0,1,0,0,0,N/A
2515528,"January 31, 2023",Kentucky,Louisville,1000 block of Euclid Ave,0,1,0,0,0,N/A
2515516,"January 31, 2023",Kentucky,Louisville,100 block of E Southland Blvd,0,1,0,0,0,N/A
2515540,"January 31, 2023",Tennessee,Nashville,3000 block of Crowe Dr,1,1,0,0,0,N/A
2517934,"January 31, 2023",Alabama,Opelika,2100 block of Waverly Pkwy,0,1,0,0,1,N/A
2515498,"January 31, 2023",Alabama,Huntsville,4100 block of McClain Ln,0,1,0,0,0,N/A
2515117,"January 31, 2023",Missouri,Saint Louis (Berkeley),8000 block of Busiek Ave,1,0,0,0,1,N/A
2515870,"January 31, 2023",Michigan,Warren,4385 Frazho Rd,0,1,0,0,4,N/A
2515226,"January 31, 2023",Maryland,Gaithersburg,374 N Summit Ave,0,2,0,0,0,N/A
2515533,"January 31, 2023",Kentucky,Louisville,6700 block of Leverett Ln,1,0,0,0,0,N/A
2515430,"January 31, 2023",Illinois,Chicago,10723 S Wallace St,0,1,0,0,0,N/A
2515599,"January 31, 2023",California,Vallejo,800 block of Nebraska St,0,1,0,0,1,N/A
2515355,"January 31, 2023",South Carolina,Blythewood,10901 Wilson Blvd,0,0,0,0,1,N/A
2515676,"January 31, 2023",Pennsylvania,Philadelphia,N 61st St and Jefferson St,0,1,0,0,0,N/A
2516796,"January 31, 2023",Kansas,Salina,200 block of S 10th St,0,0,0,0,0,N/A
2515310,"January 31, 2023",Texas,Houston,6200 block of Heatherbrook Dr,0,1,0,0,0,N/A
2515642,"January 31, 2023",California,San Francisco,100 block of Hester Ave,1,0,0,0,0,N/A
2516034,"January 31, 2023",Ohio,Columbus,2800 block of Atwood Terrace,1,1,0,0,1,N/A
2515270,"January 31, 2023",North Carolina,Charlotte,2100 block of N Davidson St,1,0,0,0,0,N/A
2516089,"January 31, 2023",Texas,Spring,17100 block of Carroll Lake Dr,0,1,0,0,0,N/A
2516080,"January 31, 2023",Texas,Houston,4012 Synott Rd,0,1,0,0,0,N/A
2516065,"January 31, 2023",Indiana,Lafayette,1700 block of N 17th St,0,0,1,0,0,N/A
2515217,"January 31, 2023",District of Columbia,Washington,40 block of Forrester St SW,0,1,0,0,0,N/A
2515490,"January 31, 2023",Ohio,Columbus,1265 Koebel Rd,0,0,0,0,0,N/A
2515159,"January 31, 2023",North Carolina,Charlotte,600 E 24th St,1,0,0,0,0,N/A
2515985,"January 31, 2023",Connecticut,Bethel,15 Reservoir St,1,0,1,0,0,N/A
2515153,"January 31, 2023",Georgia,Stone Mountain,4849 Memorial Dr,0,1,0,0,0,N/A
2517468,"January 31, 2023",Alabama,Dothan,500 block of E Selma St,0,1,0,0,1,N/A
2515952,"January 31, 2023",Texas,Longview,1519 N Eastman Rd,0,1,0,0,0,N/A
2515674,"January 31, 2023",Pennsylvania,Philadelphia,2600 block of N 13th St,1,0,0,0,0,N/A
2515915,"January 31, 2023",Texas,Harlingen,4200 block of Wilson Rd,0,1,0,0,2,N/A
2515120,"January 31, 2023",Georgia,Marietta,3500 block of Main Station Dr,0,1,0,1,0,N/A
2521822,"January 31, 2023",Nevada,Elko,4663 Hopi St,1,0,1,0,0,N/A
2516242,"January 31, 2023",California,Compton,Compton Blvd and Redondo Beach Blvd,0,0,0,1,1,N/A
2516445,"January 31, 2023",Missouri,Kansas City,E 24th St and Brighton Ave,1,0,0,0,0,N/A
2516607,"January 31, 2023",Indiana,Hammond,5926 Calumet Ave,0,0,0,0,1,N/A
2515059,"January 31, 2023",Georgia,Warner Robins,209 Somerset Dr,0,0,0,1,1,N/A
2515954,"January 31, 2023",Texas,Hutto,Cassandra Dr,1,1,0,0,1,N/A
2514963,"January 31, 2023",New Mexico,Rio Rancho,4515 Arrowhead Ridge Dr SE,0,0,1,0,0,N/A
2515856,"January 31, 2023",South Carolina,Olar,5th St,1,0,0,0,0,N/A
2515200,"January 31, 2023",Kansas,Topeka,915 SE 34th St,1,0,0,0,1,N/A
2515763,"January 31, 2023",Nevada,Las Vegas,1000 block of S 3rd St,1,0,0,0,1,N/A
2516579,"January 31, 2023",Nevada,Las Vegas,2668 N Las Vegas Blvd,0,1,0,0,0,N/A
2514995,"January 31, 2023",Florida,Tampa,1700 block of E 24th Ave,1,0,0,0,1,N/A
2516302,"January 31, 2023",Alabama,Birmingham,100 block of 9th Avenue W,1,2,0,0,0,N/A
2515123,"January 31, 2023",Florida,Pensacola,1400 block of Blue Angel Pkwy,1,0,0,0,1,N/A
2515823,"January 31, 2023",North Carolina,Hamlet,North St,0,1,0,0,1,N/A
2516574,"January 31, 2023",New York,Bronx,W 169th St and Plimpton Ave,1,0,0,0,1,N/A
2514902,"January 31, 2023",North Carolina,Durham,4100 block of Sudbury Rd,2,2,0,0,0,N/A
2515790,"January 31, 2023",Indiana,Indianapolis,5000 block of Brookfield Dr,1,1,0,0,0,N/A
2515589,"January 31, 2023",Louisiana,Shreveport,1915 Patzman St,0,2,0,0,0,N/A
2515750,"January 31, 2023",Nevada,Las Vegas,3750 S Buffalo Dr,0,0,0,0,1,N/A
2515744,"January 31, 2023",Arizona,Phoenix,35th Ave and Camelback Rd,0,2,0,0,0,N/A
2515707,"January 31, 2023",Florida,Miami,500 block of NW 151st St,2,0,0,0,0,N/A
2516143,"January 31, 2023",Texas,Harlingen,2901 Haine Dr,0,1,0,0,0,N/A
2515819,"January 31, 2023",Ohio,Jackson,1818 Jisco West Rd,0,0,1,0,0,N/A
2515312,"January 31, 2023",California,Selma,2600 block of Pine St,1,0,0,0,1,N/A
2516414,"January 31, 2023",Arkansas,Jonesboro,Cartwright St,0,2,0,0,1,N/A
2515807,"January 31, 2023",Pennsylvania,Philadelphia,600 block of E Wyoming St,0,1,0,0,0,N/A
2515682,"January 31, 2023",Oregon,Grants Pass,2100 block of Shane Way,0,0,1,0,0,N/A
2515664,"January 31, 2023",Washington,Kent,743 Central Ave N,2,0,0,0,0,N/A
2516431,"January 31, 2023",Colorado,Edwards,N/A,0,0,1,0,0,N/A
2515422,"January 31, 2023",Alabama,Birmingham,4200 block of Fairmont Way,1,0,0,0,2,N/A
2520539,"January 31, 2023",Maine,Jay,31 Pleasant Dr,0,1,0,0,1,N/A
2515647,"January 31, 2023",Connecticut,Hartford,21 May St,0,1,0,0,0,N/A
2515645,"January 31, 2023",Connecticut,Hartford,1043 Capitol Ave,0,1,0,0,0,N/A
2515650,"January 31, 2023",Massachusetts,Brockton,999 N Montello St,1,1,0,0,0,N/A
2515587,"January 31, 2023",California,San Diego,Fairmount Ave and Wightman St,0,1,0,0,0,N/A
2515592,"January 31, 2023",New York,Buffalo,345 Amherst St,0,1,0,0,0,N/A
2516381,"January 31, 2023",Alabama,Theodore,6201 Swedetown Rd N,0,0,0,0,1,N/A
2516374,"January 31, 2023",Mississippi,Jackson,McDowell Rd,0,1,0,0,0,N/A
