Incident ID,Incident Date,State,City Or County,Address,# Victims Killed,# Victims Injured,# Subjects-Suspects Killed,# Subjects-Suspects Injured,# Subjects-Suspects Arrested,Operations
Incident ID,Incident Date,State,City Or County,Address,# Victims Killed,# Victims Injured,# Subjects-Suspects Killed,# Subjects-Suspects Injured,# Subjects-Suspects Arrested,Operations
Incident ID,Incident Date,State,City Or County,Address,# Victims Killed,# Victims Injured,# Subjects-Suspects Killed,# Subjects-Suspects Injured,# Subjects-Suspects Arrested,Operations
2551487,20-Mar-23,New York,Brooklyn,2355 Batchelder St,1,0,0,0,0,N/A
2549957,20-Mar-23,Texas,Arlington,1400 W Lamar Blvd,1,1,0,0,1,N/A
2550317,20-Mar-23,New York,Rochester,Barrington St,0,0,1,0,0,N/A
2550522,20-Mar-23,Kansas,Fort Riley,Trooper Dr,0,0,0,1,0,N/A
2554741,20-Mar-23,Texas,Victoria,3100 block of Greenwood Dr,0,1,0,0,0,N/A
2550492,20-Mar-23,Kentucky,Louisville,4600 block of Hendrik Dr,0,1,0,0,0,N/A
2550322,20-Mar-23,Virginia,Manassas,6330 Hoadly Rd,1,0,0,0,1,N/A
2559076,20-Mar-23,Mississippi,Water Valley,MS-315,1,0,0,0,0,N/A
2552231,20-Mar-23,Indiana,Muncie,16th St and Ebright St,0,1,0,0,2,N/A
2550439,20-Mar-23,Tennessee,Memphis,2400 block of Ball Road,1,0,0,0,1,N/A
2550691,20-Mar-23,Massachusetts,Springfield,100 Belmont Ave,1,0,0,0,2,N/A
2551427,20-Mar-23,Alabama,Fairfield,Ave C,0,1,0,0,0,N/A
2550444,20-Mar-23,Tennessee,Memphis,5088 Urbana Rd,1,0,0,0,1,N/A
2551663,20-Mar-23,Washington,Seattle (Ballard),800 block of NW 54th St,0,1,1,0,0,N/A
2551812,20-Mar-23,Pennsylvania,Hilliards,462 Kohlmeyer Rd,0,0,1,0,0,N/A
2550552,20-Mar-23,Ohio,Cleveland,3800 block of W 31st St,1,1,0,0,1,N/A
