"Incident ID","Incident Date",State,"City Or County",Address,"# Victims Killed","# Victims Injured","# Subjects-Suspects Killed","# Subjects-Suspects Injured","# Subjects-Suspects Arrested",Operations
2578209,"April 20, 2023",Texas,"Wichita Falls",N/A,0,1,0,0,1,N/A
2578267,"April 20, 2023",Tennessee,Memphis,"1000 block of Pearce St",0,1,0,0,1,N/A
2577621,"April 20, 2023","District of Columbia",Washington,"800 block of Barnaby St SE",0,1,0,0,0,N/A
2577280,"April 20, 2023",Indiana,Indianapolis,"Breen Dr and N Brentwood Ave",1,0,0,0,0,N/A
2577324,"April 20, 2023",Indiana,Indianapolis,"3000 block of N Post Rd",0,2,1,0,0,N/A
2578249,"April 20, 2023",Louisiana,"New Orleans","7001 Lawrence Rd",1,0,0,0,1,N/A
2577615,"April 20, 2023",Illinois,Rockford,"2410 S Alpine Rd",0,1,0,0,0,N/A
2577712,"April 20, 2023",Arizona,Phoenix,"N 28th Dr and W Cactus Rd",0,0,0,1,1,N/A
2578695,"April 20, 2023",Vermont,Morrisville,"Upper Main St and Pleasant St",0,1,0,0,1,N/A
2577564,"April 20, 2023",Pennsylvania,Middletown,"2000 block of Willow Park Rd",0,0,0,2,2,N/A
2577557,"April 20, 2023",Wisconsin,"Milwaukee (Glendale)","1301 W Hampton Ave",0,1,0,0,0,N/A
2608058,"April 20, 2023",Arizona,Mesa,"2700 E Brown Rd",0,0,0,0,1,N/A
2577618,"April 20, 2023",Ohio,Columbus,"1000 West Broad St",1,0,0,0,2,N/A
2577509,"April 20, 2023",Illinois,Chicago,"2300 block of E 80th St",1,0,0,0,0,N/A
2578319,"April 20, 2023",Ohio,Cleveland,"10835 Grantwood Ave",1,0,0,0,0,N/A
2577730,"April 20, 2023",Pennsylvania,Philadelphia,"4600 block of Wayne Ave",0,1,0,0,0,N/A
2580307,"April 20, 2023",Pennsylvania,Philadelphia,"1200 block of Alcott St",0,1,0,0,0,N/A
2577734,"April 20, 2023",Pennsylvania,Philadelphia,"4000 block of Wallace St",0,1,0,0,0,N/A
2577550,"April 20, 2023",Minnesota,"Saint Paul (Falcon Heights)","1600 block of Snelling Ave N",0,1,0,0,0,N/A
2578104,"April 20, 2023",Alabama,"Birmingham (Forestdale)","400 block of 4th Thomas St",1,0,0,0,0,N/A
2582021,"April 20, 2023",Florida,"Spring Hill (Weeki Wachee)","Nordica Rd",1,0,0,0,1,N/A
2577541,"April 20, 2023",Michigan,Detroit,"16046 Puritan Ave",0,1,0,0,0,N/A
2577536,"April 20, 2023",Michigan,Detroit,"14900 block of Mark Twain St",0,1,0,0,0,N/A
2577532,"April 20, 2023","District of Columbia",Washington,"Martin Luther King Jr Ave SE and Mellon St SE",0,1,0,0,0,N/A
2578085,"April 20, 2023","North Carolina",Raleigh,"6600 block of Johnsdale Rd",0,1,0,0,0,N/A
2577525,"April 20, 2023",Illinois,Chicago,"4400 block of S Wolcott Ave",0,1,0,0,0,N/A
2577514,"April 20, 2023",Texas,"San Antonio","Belinda Lee St and Susanwood Dr",0,1,0,0,0,N/A
2578074,"April 20, 2023",Oklahoma,"Oklahoma City","12121 N Council Rd",0,1,0,0,0,N/A
2578070,"April 20, 2023","North Carolina",Ahoskie,"300 block of Roberts St",0,1,0,0,0,N/A
2578065,"April 20, 2023","North Carolina",Goldsboro,"1408 S Harding Dr",0,1,0,0,0,N/A
2577455,"April 20, 2023",California,"San Diego","9810 Sydney Ln",0,1,0,0,1,N/A
2578046,"April 20, 2023",Massachusetts,Lawrence,"S Union St and Foster St",0,1,0,0,0,N/A
2579342,"April 20, 2023",Arkansas,"Little Rock","1400 block of Jones St",0,1,0,0,0,N/A
2607006,"April 20, 2023",California,"Simi Valley",N/A,0,1,0,0,0,N/A
2577451,"April 20, 2023",Texas,"Fort Worth","1864 Handley Dr",0,1,0,0,0,N/A
2579116,"April 20, 2023",Utah,"Salt Lake City (West Valley City)","2400 S Redwood Rd",0,0,0,1,0,N/A
2578037,"April 20, 2023",Missouri,"Kansas City (Raytown)","E 86th St and Stark Ave",1,0,0,0,1,N/A
2577593,"April 20, 2023",California,Oakland,"Fruitvale Ave and MacArthur Blvd",0,1,0,0,0,N/A
2578993,"April 20, 2023",Michigan,Burton,N/A,0,1,0,0,0,N/A
2577732,"April 20, 2023",Pennsylvania,Philadelphia,"3200 block of Ridge Ave",0,1,0,0,0,N/A
2577979,"April 20, 2023",Michigan,Detroit,"7300 block of Churchill St",0,1,0,0,0,N/A
2577989,"April 20, 2023",Pennsylvania,York,"1800 Hollywood Dr",0,0,0,0,1,N/A
2577976,"April 20, 2023",Indiana,Elkhart,"800 block of Hiawatha Dr",0,1,0,1,1,N/A
2577960,"April 20, 2023",Texas,Houston,"9700 block of Spaulding St",0,2,0,0,0,N/A
2577945,"April 20, 2023",Indiana,Indianapolis,"3800 block of E 31st St",0,1,0,0,0,N/A
2577628,"April 20, 2023",Pennsylvania,Philadelphia,"2300 block of Tasker St",0,2,0,0,0,N/A
2577744,"April 20, 2023",Iowa,Davenport,"3700 block of Bridge Ave",1,0,0,0,0,N/A
2577912,"April 20, 2023",Florida,Tampa,"1818 E Fletcher Ave",0,1,0,0,1,N/A
2577328,"April 20, 2023",Indiana,Mishawaka,"5305 N Main St",0,1,0,0,0,N/A
2579459,"April 20, 2023",Florida,"Palm Bay","2700 block of Palm Dr NE",1,0,0,0,1,N/A
2578493,"April 20, 2023","West Virginia",Romney,N/A,0,1,0,0,1,N/A
2577870,"April 20, 2023",Illinois,Chicago,"700 block of E 79th St",0,1,0,0,0,N/A
2577311,"April 20, 2023",Indiana,Indianapolis,"N Keystone Ave and 52nd St",0,1,0,0,0,N/A
2577865,"April 20, 2023",Illinois,Chicago,"2100 block of W Arthur Ave",0,1,0,0,0,N/A
2577301,"April 20, 2023",Indiana,Indianapolis,"E 17th St",0,1,0,0,0,N/A
2577856,"April 20, 2023",Georgia,Atlanta,"2479 Abner Terrace NW",2,0,0,0,0,N/A
2577859,"April 20, 2023",Georgia,Decatur,"6100 block of Covington Hwy",0,1,0,0,0,N/A
2577293,"April 20, 2023",Indiana,Indianapolis,"S Rybolt Ave",0,1,0,0,0,N/A
2578655,"April 20, 2023",California,Lompoc,"N F St and E Cherry Ave",0,1,0,0,0,N/A
2578470,"April 20, 2023",Georgia,Lithonia,"Evans Mill Rd",0,1,0,0,0,N/A
2577849,"April 20, 2023",Illinois,Chicago,"3600 block of W Grenshaw St",0,2,0,0,0,N/A
2577273,"April 20, 2023",Indiana,Indianapolis,"2100 block of N Dexter St",1,0,0,0,0,N/A
2581800,"April 20, 2023",Texas,Houston,"6002 Rampart St",0,1,0,0,0,N/A
2577838,"April 20, 2023",Ohio,Columbus,"19 N Pearl St",0,1,0,0,0,N/A
2577971,"April 20, 2023",Texas,Manor,"10200 block of US-290",0,0,1,0,0,N/A
2577910,"April 20, 2023",Indiana,"South Bend","600 block of Johnson St",1,0,0,0,1,N/A
2603164,"April 20, 2023",Georgia,Macon,N/A,0,0,0,0,1,N/A
2577831,"April 20, 2023","South Carolina",Florence,"2635 E Palmetto St",0,1,0,0,0,N/A
2577623,"April 20, 2023","District of Columbia",Washington,"600 block of Edgewood St NE",0,1,0,0,0,N/A
2577890,"April 20, 2023",Illinois,Chicago,"4400 block of W Gladys Ave",0,1,0,0,0,N/A
2577246,"April 20, 2023",Illinois,Chicago,"4200 block of S King Dr",0,1,0,0,0,N/A
2577228,"April 20, 2023",Illinois,Chicago,"2300 block of W 75th St",0,1,0,0,0,N/A
2577602,"April 20, 2023",California,Sacramento,"Excelsior Rd and Elder Creek Rd",0,1,0,0,0,N/A
2577606,"April 20, 2023",California,"Los Angeles","E 81st St and S Avalon Blvd",0,1,0,0,0,N/A
2577609,"April 20, 2023",California,"Los Angeles",N/A,0,1,0,0,0,N/A
2577216,"April 20, 2023",Illinois,Chicago,"2900 block of S State St",0,2,0,0,0,N/A
2577878,"April 20, 2023",California,"Los Angeles","Figueroa St and 79th St",0,1,0,0,0,N/A
2577758,"April 20, 2023",Oregon,Beaverton,"18800 block of SW Farmington Rd",0,1,0,0,1,N/A
2577722,"April 20, 2023",Louisiana,"Baton Rouge","2803 Dayton St",1,0,0,0,1,N/A
2577576,"April 20, 2023",Iowa,Davenport,"700 block of W 63rd St",0,1,0,0,0,N/A
2577725,"April 20, 2023","North Dakota",Fargo,"1632 33rd Ave S",0,1,0,0,1,N/A
2578358,"April 20, 2023",Alabama,Birmingham,"I-59 and Arkadelphia Rd",0,0,0,1,1,N/A
2578186,"April 20, 2023","West Virginia",Beckley,"1000 block of Scott Ave",1,0,0,0,0,N/A
2577693,"April 20, 2023","New Jersey",Trenton,"269 Hamilton Ave",1,3,0,0,0,N/A
2580704,"April 20, 2023",Texas,Austin,"4900 block of W US 290",1,0,0,0,0,N/A
2578257,"April 20, 2023",Louisiana,"New Orleans","Louisa St  and N Robertson St",2,0,0,0,0,N/A
2578324,"April 20, 2023",Ohio,Cleveland,"E 148th St and Harvard Ave",0,1,0,0,0,N/A
2577958,"April 20, 2023",Texas,Houston,"9800 block of Main St",1,0,0,0,0,N/A
2577690,"April 20, 2023",Kentucky,Lexington,"400 block of Chestnut St",2,0,0,0,1,N/A
2577479,"April 20, 2023","New York",Windsor,"18 Gary St",0,0,1,0,0,N/A
2578297,"April 20, 2023",Kentucky,Louisville,"6300 Terry Rd",0,0,0,0,1,N/A
