Incident ID,Incident Date,State,City Or County,Address,# Victims Killed,# Victims Injured,# Subjects-Suspects Killed,# Subjects-Suspects Injured,# Subjects-Suspects Arrested,Operations
2586436,2023-05-01,New York,Brooklyn,Pennsylvania Ave and Stanley Ave,1,0,0,0,0,N/A
2586088,2023-05-01,Mississippi,Terry,1217 Willie Mae Rd,1,0,0,0,1,N/A
2587156,2023-05-01,California,Represa,100 Folsom Prison Rd,0,0,1,0,0,N/A
2586290,2023-05-01,Pennsylvania,Philadelphia,600 block of Oregon Ave,0,3,0,0,0,N/A
2591096,2023-05-01,Louisiana,Baton Rouge,130 Taylor St,1,0,0,0,0,N/A
2586308,2023-05-01,District of Columbia,Washington,600 block of Division Ave NE,0,1,0,0,1,N/A
2586912,2023-05-01,Virginia,Lynchburg,1500 block of Floyd St,1,0,0,0,0,N/A
2586013,2023-05-01,Ohio,Cincinnati,2500 Highland Ave,1,0,0,0,1,N/A
2586442,2023-05-01,New York,Canandaigua,484 S Main St,0,0,0,1,0,N/A
2585621,2023-05-01,New Mexico,Hillsboro,NM-187,0,0,0,1,0,N/A
2587083,2023-05-01,Colorado,Denver,2000 block of N Oneida St,0,0,1,0,0,N/A
2586056,2023-05-01,Virginia,Danville,1321 Piney Forest Rd,1,2,0,0,1,N/A
2587020,2023-05-01,Colorado,Aurora,13100 block of E 13th Pl,1,0,0,0,1,N/A
2587049,2023-05-01,South Carolina,Darlington,Society Hill Rd,0,1,0,0,0,N/A
2586365,2023-05-01,Pennsylvania,Mckeesport,610 Evans Ave,1,0,0,0,1,N/A
2587045,2023-05-01,South Carolina,Gaffney,411 W Carlisle St,0,1,0,0,0,N/A
2586194,2023-05-01,Colorado,Denver,E 37th Ave and Fillmore St,0,1,0,0,0,N/A
2585849,2023-05-01,South Carolina,Hardeeville,Brooks Willis Dr,0,0,1,0,0,N/A
2587026,2023-05-01,North Carolina,Winston Salem (Winston-salem),5000 block of Brandemere Ct,0,1,0,0,0,N/A
2586181,2023-05-01,Michigan,Detroit,Grand River Ave and Stoepel St,0,1,0,0,0,N/A
2585867,2023-05-01,Tennessee,Memphis,Lamar Ave and Barron Ave,0,1,0,0,0,N/A
2588845,2023-05-01,Pennsylvania,Philadelphia,1500 block of W Tioga Ave,1,0,0,0,0,N/A
2586986,2023-05-01,Louisiana,Natchitoches,1400 block of Stella St,1,1,0,0,0,N/A
2586984,2023-05-01,Virginia,Saltville,2000 block of Saltville Hwy,0,1,0,0,0,N/A
2587878,2023-05-01,Missouri,Sedalia,Hwy M,0,1,0,0,1,N/A
2586327,2023-05-01,District of Columbia,Washington,2000 block of M St NE,1,0,0,0,0,N/A
2586019,2023-05-01,Tennessee,Memphis,3600 block of Bellbranch Dr,1,1,0,0,0,N/A
2586303,2023-05-01,District of Columbia,Washington,14th St NW and S St NW,0,1,0,0,0,N/A
2586144,2023-05-01,Illinois,Chicago,4500 block of S Ashland Ave,0,1,0,0,0,N/A
2586134,2023-05-01,Illinois,Chicago,1100 block of E 72nd St,0,1,0,0,0,N/A
2586300,2023-05-01,Pennsylvania,Philadelphia,I-95 and Bartram Ave,0,1,0,0,1,N/A
2586119,2023-05-01,Tennessee,Jonesborough,1000 block of TN-81,0,0,0,1,0,N/A
2586662,2023-05-01,Florida,Saint Petersburg,1650 Central Ave,0,2,0,0,1,N/A
2585756,2023-05-01,Texas,Forney,2000 block of Cone Flower Dr,0,1,0,0,0,N/A
