Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2621053,9-Jun-23,District of Columbia,Washington,3264 Stanton Rd SE,1,0,0,0,0,N/A
2620907,9-Jun-23,Maryland,Bowie (Mitchellville),2112 Church Rd,0,0,0,0,1,N/A
2620379,8-Jun-23,Pennsylvania,Uniontown,146 E Fayette St,0,0,0,0,0,N/A
2619530,7-Jun-23,Texas,San Antonio,7618 E Evans Rd,0,0,0,0,2,N/A
2619238,7-Jun-23,Wisconsin,Milwaukee,N 15th St and W Meinecke Ave,0,0,0,0,0,N/A
2618525,6-Jun-23,Pennsylvania,Philadelphia,4300 Tacony St,0,0,0,0,1,N/A
2618358,6-Jun-23,Virginia,Richmond,6 N Laurel St,5,2,0,0,1,N/A
2617124,5-Jun-23,Michigan,Warren,31300 Ryan Rd,0,0,0,0,1,N/A
2617497,5-Jun-23,Utah,Salt Lake City,2166 S 1700 E,0,0,0,0,2,N/A
2618343,2-Jun-23,Wisconsin,Madison,702 Pflaum Rd,0,0,0,0,1,N/A
2616067,2-Jun-23,California,San Mateo,506 N Delaware St,0,0,0,0,2,N/A
2614659,2-Jun-23,New York,Staten Island,101 Belmont Pl,0,0,0,0,1,N/A
2614603,31-May-23,California,Menifee,28100 Calm Horizon Dr,0,0,0,0,1,N/A
2613532,31-May-23,Virginia,Richmond,6901 Messer Rd,0,0,0,0,1,N/A
2617161,31-May-23,Michigan,Harper Woods,20225 Beaconsfield St,0,0,0,0,1,N/A
2613950,31-May-23,Indiana,Columbia City,1692 IN-9,0,0,0,0,0,N/A
2608980,26-May-23,Texas,San Antonio,14800 Judson Rd,0,0,0,0,1,N/A
2609942,26-May-23,California,Moreno Valley,17750 Lasselle St,0,0,0,0,1,N/A
2608891,26-May-23,Texas,Houston,16713 Ella Blvd,0,0,0,0,2,N/A
2608570,25-May-23,Indiana,Indianapolis,3010 N White River Pkwy E Dr,0,0,0,0,1,N/A
2608159,25-May-23,Arizona,Tucson,1346 N Stone Ave,0,0,0,0,1,N/A
2608256,25-May-23,Hawaii,Kapolei,91-5335 Kapolei Pkwy,0,0,0,0,1,N/A
2609086,24-May-23,Texas,Dallas,100 S Glasgow Dr,0,0,0,0,1,N/A
2607974,24-May-23,Utah,American Fork,20 W 1120 N,0,0,0,0,1,N/A
2606670,24-May-23,North Carolina,Greenville,600 W Arlington Blvd,1,0,0,0,1,N/A
2606987,24-May-23,California,Santa Maria,675 Panther Dr,0,0,0,0,1,N/A
2606723,24-May-23,Pennsylvania,Pittsburgh,2323 Brighton Rd,0,1,0,0,1,N/A
2606261,23-May-23,Kentucky,Louisville,6300 Terry Rd,0,0,0,0,1,N/A
2608839,23-May-23,Texas,Houston,15150 Wallisville Rd,0,0,0,0,1,N/A
2605505,22-May-23,Ohio,Columbus,1500 E Broad St,0,0,0,0,2,N/A
2608988,22-May-23,Missouri,Kansas City,3100 NE 46th St,0,0,0,0,0,N/A
2606091,22-May-23,Michigan,Ypsilanti,Concord Dr and Bedford Dr,0,0,0,0,0,N/A
2605863,22-May-23,Utah,Salt Lake City (Kearns),5525 Cougar Ln,0,0,0,0,0,N/A
2606557,22-May-23,California,San Diego,3950 Byrd St,0,0,0,0,0,N/A
2605406,22-May-23,Massachusetts,Danvers,72 Spring St,0,0,0,0,0,N/A
2605147,19-May-23,Louisiana,Garyville,240 LA-54,0,0,0,0,3,N/A
2602735,19-May-23,Virginia,Fredericksburg,6320 Harrison Rd,0,0,0,0,1,N/A
2603051,19-May-23,Alabama,Harvest,2616 Jeff Rd NW,0,0,0,0,0,N/A
2602748,19-May-23,Arizona,Phoenix,3535 N 27th Ave,0,0,0,0,1,N/A
2602920,18-May-23,Florida,Saint Petersburg,850 34th St S,0,0,0,0,2,N/A
2608157,18-May-23,New York,Clarence,5150 Old Goodrich Rd,0,0,0,0,0,N/A
2602744,18-May-23,Virginia,Norfolk,730 Spotswood Ave,0,0,0,0,1,N/A
2601586,18-May-23,Maryland,Cheltenham,9400 Surratts Rd,0,0,0,0,1,N/A
2602362,18-May-23,Illinois,Pleasant Hill,501 E Quincy St,0,0,0,0,1,N/A
2603169,18-May-23,Georgia,Marietta,1171 Whitlock Ave NW,0,0,0,0,1,N/A
2600771,17-May-23,District of Columbia,Washington,4301 13th St NW,0,1,0,0,0,N/A
2602538,17-May-23,Texas,El Paso,7000 Dyer St,0,0,0,0,1,N/A
